edad,antiguedad,salario,horas_extra,satisfaccion_laboral,evaluacion_desempenio,num_proyectos,distancia_trabajo,capacitaciones,abandono
28,1,2410775,0,2,1,7,19,2,1
43,12,7454878,11,4,2,3,48,4,0
49,13,7395469,6,4,1,1,39,5,0
23,18,6607031,14,1,4,4,46,5,1
27,6,4096874,18,1,1,1,28,0,1
49,2,7427997,0,4,4,5,46,1,0
49,14,2058924,16,1,4,1,27,2,1
41,13,5381185,16,3,1,7,4,1,0
51,10,5873656,2,3,2,5,15,5,0
32,14,6504998,11,4,3,5,35,5,0
49,12,5512595,5,1,1,5,37,3,0
46,17,3790435,10,2,3,4,1,0,0
54,5,6666650,2,3,1,1,3,3,0
22,2,6609319,7,4,3,7,47,3,0
48,18,7193075,13,1,2,1,24,3,1
34,14,6693278,13,4,2,4,27,0,0
24,4,1931413,9,2,1,3,40,0,1
27,9,2852564,1,3,4,2,36,4,0
29,6,3924050,13,4,3,7,34,1,0
48,16,5665100,8,4,4,7,29,1,0
30,6,6645965,2,4,4,1,24,4,0
58,11,2363561,7,2,4,2,24,4,1
54,16,1802186,15,4,2,6,42,5,0
45,12,4707393,1,2,1,6,4,3,0
36,19,6989464,5,2,1,4,3,4,1
53,3,5328464,11,2,2,6,34,2,1
53,9,2526553,4,3,2,7,49,1,0
45,2,2735202,1,3,1,6,23,4,0
33,8,1645271,15,4,4,3,23,2,1
23,12,3715685,4,4,3,3,45,2,0
24,17,6662756,14,3,3,3,5,2,0
58,14,5243797,11,1,3,6,31,5,1
38,3,3014542,3,3,4,4,41,5,0
23,14,7857718,14,2,1,5,6,2,1
23,1,5680656,10,3,2,5,37,5,0
49,14,4430184,15,2,1,2,10,3,1
44,7,1576898,5,4,4,5,40,2,0
58,7,4795097,13,1,2,5,7,3,1
53,16,1788316,17,4,4,3,39,3,1
54,11,3508954,11,2,3,3,38,2,1
22,18,3329553,10,2,3,6,21,1,1
40,9,5588657,12,2,4,2,20,2,1
23,8,4541341,10,1,2,1,3,2,0
47,4,2539504,15,3,2,7,22,5,1
53,5,5587810,14,4,1,2,47,2,0
27,19,7427071,14,4,3,2,4,1,0
53,1,3605058,3,3,1,4,28,5,0
25,12,6488023,10,4,1,6,12,0,0
32,5,6409384,18,1,4,4,38,0,1
38,4,3175843,14,4,4,2,36,3,0
59,0,1534701,3,2,1,2,47,3,1
45,5,4729028,12,3,3,2,41,1,0
26,5,3221610,18,1,4,5,5,4,1
55,15,3680712,1,3,1,7,13,0,0
27,3,3839767,13,1,1,7,23,3,1
43,10,7835098,3,2,1,4,30,0,1
32,8,4114235,15,3,1,2,37,1,0
37,2,1991036,19,4,1,7,25,1,1
54,18,1827304,13,1,1,3,48,4,1
30,7,7546914,14,3,4,7,27,4,0
27,4,3962616,2,4,3,6,14,5,0
37,3,4210241,7,3,1,6,48,1,0
50,5,4933803,15,3,2,7,47,3,0
24,1,2642953,9,3,4,3,36,0,0
41,19,5461352,3,1,4,6,39,2,1
57,10,5478702,17,4,1,5,16,4,0
40,3,5559175,1,2,4,7,22,2,0
47,14,1826916,16,1,1,5,21,3,1
24,5,5097706,12,1,3,7,21,4,1
40,16,6006554,3,1,3,1,8,2,1
41,5,2105409,10,2,4,1,49,3,1
53,18,2574135,6,4,4,1,16,0,0
28,1,4489179,11,4,2,6,31,3,0
54,14,6550405,9,4,4,5,42,5,0
39,10,3225690,6,3,2,5,10,4,0
22,7,4780772,12,3,3,5,32,1,0
32,18,7309041,6,3,3,3,34,0,0
49,12,5657893,16,2,1,5,9,2,1
46,11,6587268,9,3,3,3,17,4,0
44,4,7655579,9,2,2,1,11,1,0
52,5,1903119,3,4,4,1,32,3,0
51,3,6829868,19,3,1,6,10,1,0
56,18,5666769,3,3,2,7,22,4,0
28,19,5820295,6,1,4,1,17,4,0
37,0,1902732,0,2,1,7,4,5,1
47,19,2006079,11,4,3,7,48,5,1
23,16,3450013,12,1,2,6,47,1,1
22,11,4123836,9,1,4,2,25,3,0
33,14,2632658,14,4,1,2,21,1,0
26,0,3485209,12,1,1,4,37,4,1
58,13,5822626,8,2,3,6,38,4,1
53,5,2156951,8,2,4,4,49,2,1
30,4,1511303,14,3,3,4,1,5,1
56,10,2710209,9,1,3,2,25,2,1
40,3,4979591,9,3,4,6,36,0,0
37,12,6992570,7,1,4,2,17,4,0
24,10,6703916,15,2,4,4,41,2,1
41,2,7526988,16,2,2,6,24,1,1
45,0,7891072,4,2,4,4,2,5,0
54,5,3866610,3,1,1,5,40,5,1
45,17,5680303,17,2,3,7,15,3,1
32,9,2568199,18,1,2,6,32,1,1
29,4,6417339,3,3,4,6,39,3,0
57,9,5676224,6,1,2,7,6,2,0
59,11,6184346,9,3,4,4,1,0,0
41,1,1958298,17,1,2,5,47,1,1
56,12,2547343,18,3,3,3,23,1,1
46,7,7219720,3,2,3,7,39,1,1
56,1,1605228,9,3,1,2,17,3,0
46,19,6120650,0,2,1,4,34,2,0
50,0,3255692,17,2,4,7,41,1,1
39,4,2384056,4,3,3,7,29,1,0
39,8,3230228,14,1,2,6,9,5,1
23,16,3446793,16,1,2,2,13,0,1
56,8,3069123,2,4,2,2,6,5,0
37,10,7615518,11,1,1,2,6,5,1
57,14,4779269,1,4,2,7,20,0,0
54,5,3226470,0,1,1,3,3,2,0
25,2,4840420,16,1,1,1,17,5,1
54,16,1548874,15,2,4,4,49,2,1
35,4,3122572,4,4,2,1,12,5,0
42,11,4720281,14,1,2,7,48,4,1
41,17,4189784,2,4,3,1,47,0,0
29,13,2209662,6,2,4,7,45,5,1
28,10,6821129,10,2,3,1,1,4,0
24,8,6372554,9,4,4,2,17,3,0
38,1,1970452,8,2,2,5,3,4,1
54,11,7172605,13,3,1,2,26,1,0
33,2,3639686,12,3,1,2,15,5,0
43,2,4092670,1,2,1,6,36,4,0
43,0,6310833,2,3,1,6,32,2,0
51,7,7917665,6,1,1,1,32,3,1
59,7,1942061,17,4,3,7,4,5,1
59,10,4834732,2,1,4,2,18,1,0
29,8,5261675,9,4,2,1,49,4,0
48,4,3761286,6,2,3,6,19,3,1
48,13,1988972,8,1,4,5,43,5,1
55,2,2623994,16,2,1,4,35,3,1
42,4,4581328,10,2,4,1,40,1,1
51,4,6871112,6,4,4,5,14,4,0
54,18,5598064,13,4,1,4,33,3,0
49,13,4117703,18,4,1,3,14,3,0
54,3,1663038,3,1,1,1,34,0,1
26,12,6624795,5,3,2,1,4,3,0
40,9,6911263,9,4,1,3,24,0,0
25,17,5463735,6,4,2,3,29,4,0
56,7,2874572,12,1,1,1,19,5,1
38,7,3855874,13,4,2,3,6,5,0
49,6,7923535,3,1,4,2,33,4,1
51,7,7993509,7,2,3,4,49,4,1
50,13,2100530,4,4,4,4,40,2,0
27,18,6921469,0,4,4,4,19,4,0
56,5,5148966,3,2,1,2,1,3,1
58,0,2577833,2,2,2,7,5,5,1
45,14,4077640,8,2,3,3,27,1,0
50,0,1935423,7,4,1,5,16,5,0
52,16,2692929,0,3,1,3,6,0,0
56,0,1823390,5,3,1,1,40,5,0
54,14,3164221,8,3,4,6,13,2,0
42,1,5568316,6,4,2,4,48,4,0
53,13,3156671,3,2,2,3,35,4,1
44,7,7181635,12,4,3,5,19,5,0
54,7,7645265,16,2,2,1,12,1,1
24,18,1638563,1,4,2,2,16,1,0
39,6,2283066,4,4,1,7,43,2,0
46,18,3054623,11,2,1,2,10,0,1
52,5,6399856,7,3,4,5,25,5,0
24,5,7740779,5,2,1,1,20,4,1
45,2,5555957,7,1,1,4,31,5,1
53,6,2097897,17,1,1,3,4,2,1
43,18,5441237,2,2,1,1,44,3,1
44,7,2272800,11,4,4,7,23,3,0
23,9,6996853,2,1,1,2,2,2,1
48,19,3542999,5,1,3,7,22,4,1
23,14,5022554,1,4,3,7,37,2,0
47,14,5159985,11,4,3,5,8,4,0
38,0,3402897,1,3,3,5,7,1,0
54,19,5076511,5,4,1,3,14,2,0
30,6,2663950,16,2,3,5,3,4,1
50,3,2049148,2,2,1,5,16,2,1
47,5,4273707,1,3,4,1,19,2,0
56,0,6178394,19,1,3,4,18,4,1
46,4,6568002,7,1,2,3,16,4,1
45,0,4273939,11,4,3,1,8,0,0
34,3,3435740,3,2,3,4,33,2,1
28,1,4934955,4,1,1,7,49,3,0
57,9,6436710,12,3,3,1,12,2,0
41,4,6538108,14,3,2,6,11,2,0
22,9,4245226,15,2,1,1,5,4,1
29,0,6655872,9,3,1,5,27,2,0
37,5,7274981,15,3,4,4,12,5,0
35,12,4677326,11,2,4,3,17,2,1
33,14,3054510,16,4,3,3,6,5,0
44,3,3330815,15,4,4,4,33,3,0
36,12,5263122,11,3,4,5,5,4,0
49,19,3886378,7,4,4,2,28,2,0
55,14,5921590,19,4,1,1,14,5,0
23,7,4034937,2,3,1,5,5,5,0
53,4,4657473,15,4,1,6,33,5,0
44,14,2312461,12,3,4,7,48,1,0
43,3,5927036,18,1,1,4,41,0,1
46,11,5555555,7,2,4,1,19,3,1
43,12,3218224,4,2,1,3,22,2,0
43,1,4210626,19,4,1,7,5,1,0
27,18,2424044,7,4,2,2,2,2,0
36,18,4481352,11,4,3,6,30,2,0
58,3,2886652,0,2,4,3,47,4,1
54,3,7940010,19,1,2,4,39,4,1
29,10,1785555,5,1,1,1,4,4,1
26,4,1944191,17,2,4,4,33,1,1
25,19,3002337,7,1,1,7,13,2,1
27,10,7248398,6,2,3,1,20,0,0
53,9,4986669,0,1,2,5,7,3,0
51,7,2420597,15,3,3,2,15,4,0
56,5,3543338,11,3,2,5,23,4,0
37,5,5222946,5,2,1,5,14,2,0
34,7,2986205,19,1,3,4,23,2,1
51,14,4365899,1,4,3,7,19,1,0
40,13,1724695,13,1,1,2,29,1,1
38,10,4481467,3,3,3,1,20,4,0
40,11,4941628,0,3,4,1,29,2,0
49,12,2601844,17,1,2,6,24,0,1
47,7,7175310,12,1,2,3,18,3,1
58,17,6267493,1,4,2,6,10,2,0
47,0,2910706,8,4,4,6,41,2,0
44,14,4840216,1,1,2,1,8,5,1
30,7,5333284,8,1,1,4,26,1,0
33,10,7534938,0,1,3,5,29,3,1
22,11,6357088,10,1,4,7,10,4,0
22,11,3347865,2,2,2,5,17,2,1
55,3,7680366,19,1,1,5,2,4,1
53,15,2419484,3,4,3,2,6,2,0
46,3,6397954,17,3,3,1,5,4,0
22,4,5517136,5,2,4,7,28,3,0
37,4,6981240,2,1,4,4,41,1,1
26,7,1844855,10,3,4,2,5,3,0
43,9,7250283,14,2,1,3,18,5,1
50,16,2574961,4,3,1,4,26,0,0
24,8,6125678,19,1,4,6,20,1,1
33,18,5061963,9,1,2,4,41,3,1
47,13,3877935,11,4,3,4,49,5,0
37,7,2634106,14,1,3,5,27,0,1
58,8,7498151,16,1,1,4,49,5,1
43,10,5978011,9,2,3,6,12,2,1
50,0,3974968,5,4,2,6,7,2,0
35,13,7666160,17,2,3,1,3,4,1
49,4,7172540,12,3,1,4,10,1,0
26,13,6680724,2,1,1,5,34,2,0
51,3,7144807,9,3,2,4,25,5,0
26,0,7472558,13,2,2,3,35,1,1
33,18,3942266,5,1,3,3,16,2,0
37,7,5937677,2,1,3,5,2,4,0
47,14,6042001,15,2,1,1,24,3,1
47,14,6904659,6,2,2,1,10,4,0
42,8,2718758,19,2,2,6,38,0,1
57,8,6741218,13,2,2,6,22,2,1
54,9,3155743,8,2,3,2,26,0,1
51,19,6650635,14,1,2,5,43,0,1
58,8,6981140,2,2,1,4,39,5,0
44,2,5477019,1,1,1,7,27,1,0
31,19,4568281,1,1,3,5,29,5,0
26,10,7581410,2,2,4,2,47,2,0
57,5,6481262,17,2,3,6,38,0,1
55,1,6025208,13,4,4,5,20,3,0
52,6,6790717,19,1,2,5,27,0,1
31,17,2018349,17,2,3,6,41,3,1
40,1,4381990,9,2,1,2,20,5,1
53,16,2297968,1,2,2,6,44,5,1
22,10,1579083,0,4,1,1,19,1,0
26,11,7711411,3,4,2,4,20,0,0
25,18,4155971,13,3,3,6,35,4,0
37,6,7109125,0,1,4,2,47,5,1
45,19,5497615,13,3,2,3,2,5,0
37,5,7341912,15,2,4,1,30,1,1
23,0,4374299,13,4,2,3,34,3,0
49,16,6348341,19,4,1,7,22,1,0
53,10,7578580,2,3,1,6,3,0,0
48,17,3304673,2,4,2,1,6,2,0
41,16,4438199,8,2,4,4,15,2,1
45,6,2109996,5,4,3,6,27,3,0
33,16,6409776,12,3,3,4,10,5,0
56,19,2278513,1,2,1,5,9,3,1
54,8,4803389,7,3,3,3,33,5,0
54,16,5854385,1,4,1,1,32,5,0
58,19,7612621,3,3,3,4,48,2,0
33,7,1888590,14,3,2,2,6,3,0
24,16,3265982,3,1,1,4,41,1,0
22,6,6587397,12,4,1,2,36,5,0
54,0,4278655,11,4,2,6,2,4,0
31,12,4651882,12,3,1,1,29,4,0
50,18,6653496,13,1,3,4,4,1,1
34,18,4710016,19,4,3,7,1,4,0
33,16,7842651,17,2,1,4,19,0,1
52,12,3879877,5,3,3,7,26,5,0
23,15,3889383,10,4,4,1,25,1,0
56,7,1664053,1,2,1,4,10,3,1
44,18,6287890,18,4,2,2,15,5,0
38,17,7575479,18,2,4,4,22,1,1
47,0,7473544,4,3,1,3,48,2,0
29,13,6782379,18,4,2,6,21,3,0
50,18,2936536,1,4,3,5,22,2,0
47,14,4042637,9,1,2,2,36,5,1
31,17,4890926,1,3,4,3,34,3,0
47,1,5113263,10,2,3,7,30,4,0
55,16,5658549,17,4,1,6,25,1,0
28,17,7363515,14,4,3,1,45,5,0
25,5,7053811,8,2,1,2,28,0,1
32,18,2846208,18,3,1,5,1,3,1
50,3,6030889,8,1,2,6,49,3,1
57,0,3278599,2,1,2,7,45,5,0
46,7,1522431,8,4,2,5,4,5,0
42,6,2743131,13,2,4,1,7,2,1
57,2,2147008,18,4,4,1,49,4,1
31,9,2073441,6,2,2,7,9,2,1
58,9,5962816,15,1,4,2,36,2,1
30,18,5870380,15,3,3,7,19,4,0
45,13,3549949,0,2,3,4,1,0,1
56,1,2768300,3,1,4,1,10,2,1
56,0,3447763,3,4,4,6,36,2,0
57,17,3129849,6,2,3,4,9,3,0
39,6,3385077,7,3,1,3,45,4,0
53,7,5382149,16,4,3,5,46,1,0
45,0,6373062,4,4,3,4,42,0,0
44,2,1550861,6,1,4,5,32,0,1
53,7,6345710,19,2,3,7,32,4,1
58,14,5500737,19,4,4,4,6,5,0
33,4,2221001,3,3,4,7,48,5,0
34,2,7800534,5,2,2,3,38,3,1
44,18,3491083,6,3,3,1,17,3,0
46,0,6019216,17,4,1,3,10,4,0
56,14,3123911,4,3,2,1,27,3,0
51,7,6538396,19,1,4,7,35,0,1
38,1,7502626,2,3,4,1,21,0,0
41,2,2943717,6,2,1,5,25,1,1
46,13,5909352,13,3,4,6,28,5,0
43,13,4357733,6,3,3,3,47,4,0
34,10,7385000,4,1,2,4,15,2,1
40,15,6611142,4,3,4,3,4,5,0
57,3,2705663,1,3,4,5,29,2,0
33,19,1533320,5,4,1,1,9,1,0
40,4,1827025,14,4,3,5,27,1,0
33,13,1864359,9,2,4,2,26,3,1
30,15,6638097,6,4,1,2,19,1,0
28,17,2808507,4,4,4,4,28,1,0
49,6,5566621,0,4,1,5,17,2,0
35,9,2443187,12,4,1,7,43,3,0
52,6,5493710,17,1,3,4,41,1,1
40,0,3097690,12,4,4,7,42,5,0
37,18,1600734,17,1,3,4,20,1,1
26,15,1657702,4,1,1,2,45,3,1
56,18,4351274,12,4,2,4,40,4,0
33,3,2725811,3,3,4,2,39,3,0
46,17,2647087,16,1,2,1,49,2,1
42,1,4581091,2,3,4,7,23,4,0
57,0,5329049,16,3,3,5,47,5,0
44,14,4203381,10,4,3,4,32,0,0
37,4,6423801,19,2,3,2,47,3,1
35,19,3368670,3,4,3,3,33,2,0
52,10,5793122,1,2,3,7,46,5,0
26,9,5846664,19,2,2,4,5,4,1
56,1,6313673,15,4,3,6,43,5,0
44,2,6255469,17,4,1,1,48,3,0
50,11,2432817,7,2,1,1,34,1,1
32,19,7864171,2,4,2,3,40,3,0
39,4,5835702,8,2,4,2,11,0,1
33,4,7261932,19,3,1,4,3,3,0
30,5,4778360,5,4,4,7,33,4,0
31,8,4462732,9,3,2,2,11,4,0
38,1,3680338,9,1,4,1,16,3,1
59,11,3492825,12,3,4,2,18,4,0
28,2,5332978,16,3,4,1,30,1,0
34,19,6893974,8,2,4,2,48,5,0
30,11,7652941,16,3,2,3,10,3,0
48,16,5615811,8,4,1,5,18,1,0
23,9,2094604,8,2,3,3,38,5,1
26,13,3549927,0,1,4,3,19,5,1
50,16,4674108,1,4,1,5,36,1,0
58,17,4231638,15,1,1,5,13,2,1
59,18,1764500,0,3,2,4,46,3,0
40,16,3667478,9,4,1,7,3,5,0
29,13,4476031,17,4,2,7,10,5,0
22,8,2139282,7,1,4,4,38,4,1
43,7,4403633,10,4,4,3,1,5,0
38,1,7211813,1,4,3,3,27,1,0
28,12,3440369,7,4,3,1,46,5,0
46,6,5448242,7,3,3,1,8,2,0
25,8,2717060,16,1,1,7,46,3,1
57,10,2531519,14,4,4,4,42,3,1
27,13,7783575,16,2,2,6,17,5,1
52,3,2289352,12,2,3,6,9,0,1
40,12,6178714,18,2,2,4,6,0,1
48,1,7720699,4,2,2,1,43,1,0
31,4,2890281,11,3,3,7,25,0,1
47,10,5441106,0,4,4,7,39,1,0
40,5,3822466,4,1,3,1,49,4,0
24,17,3351317,7,4,2,6,28,1,0
34,9,7322398,12,3,3,2,33,0,0
49,3,3446830,7,2,2,2,37,5,1
41,8,4114150,10,3,2,1,9,4,0
49,5,3068560,0,4,3,2,18,0,0
29,1,6160061,12,1,1,5,21,1,1
22,16,4105214,18,3,3,4,2,2,0
24,4,3729180,2,1,1,4,43,3,1
34,5,3828599,16,3,2,1,38,0,0
49,11,2495843,4,1,2,3,40,1,1
46,9,5688891,19,1,1,6,36,4,1
54,5,2126045,7,2,2,1,43,0,1
59,7,7175539,13,1,1,2,37,0,1
27,1,5531419,3,2,1,6,15,3,0
53,11,5995511,10,4,2,3,28,1,0
42,12,2924945,19,4,4,2,18,2,1
37,6,2891538,14,2,1,7,34,4,1
42,9,3863999,18,2,3,5,22,1,1
32,12,2220488,6,3,3,2,11,4,0
58,16,6290691,18,3,2,5,13,0,0
57,13,1919065,18,3,4,6,4,3,0
56,1,4284372,10,4,2,5,22,3,0
40,10,5725889,4,3,4,6,7,5,0
41,0,2963807,4,1,1,6,43,2,1
39,18,4592195,7,1,1,6,24,3,0
35,3,3116449,9,3,1,6,4,0,0
36,18,1789102,5,1,1,6,28,2,1
52,10,2836737,14,4,3,2,15,1,0
22,7,4560006,15,1,3,6,1,3,1
24,10,7672585,16,4,2,2,3,2,0
37,3,3877074,7,2,4,6,14,0,1
44,16,4297753,7,2,1,5,38,5,0
32,6,2590805,8,2,1,7,1,4,1
33,7,5943778,1,2,4,6,38,4,1
31,2,5662065,14,1,4,3,38,0,1
53,1,4510087,17,3,2,6,21,0,0
37,14,1760116,2,1,4,6,48,4,1
29,4,4468462,16,4,1,5,29,5,0
59,0,7586368,3,1,1,4,5,2,0
33,3,4542146,3,1,1,5,49,4,0
45,14,4118137,13,4,1,3,10,0,0
49,19,5714279,8,2,1,4,28,3,1
29,18,5852099,8,2,2,1,21,1,0
49,2,5062223,17,2,1,1,7,5,1
57,19,2757949,9,3,2,3,3,5,0
47,10,6719243,3,4,1,5,45,3,0
29,16,4471981,11,4,3,2,47,3,0
49,12,5350241,7,1,3,3,20,0,1
49,10,7038166,1,3,3,7,19,4,0
58,1,5459076,12,2,3,4,35,2,1
57,8,5234340,15,3,2,4,4,5,0
48,1,4821765,1,4,2,6,5,5,0
38,8,1888076,10,4,4,1,1,3,0
30,8,6384797,9,1,1,4,4,4,1
54,7,4609244,14,1,3,3,12,5,1
41,16,6316909,16,4,2,4,27,2,0
34,0,6419799,7,2,1,3,42,3,0
49,10,7040070,17,2,1,2,23,2,1
50,7,3698611,8,3,2,6,25,4,0
34,9,6456289,7,4,3,1,21,5,0
56,6,7991878,13,4,4,4,24,1,0
27,2,7575205,17,2,1,3,25,5,1
39,2,3460826,19,2,4,5,45,4,1
26,17,4344664,19,4,3,1,46,5,0
46,4,4113275,11,1,3,2,32,5,1
23,11,2878369,18,4,4,3,32,0,1
31,11,3923970,13,4,3,7,5,5,0
51,18,3590212,16,2,1,7,36,5,1
26,5,6730852,2,2,4,6,46,2,0
54,1,5671774,6,1,3,6,42,1,0
22,11,3741984,16,1,4,2,49,2,1
39,18,1652999,11,3,1,2,42,2,1
53,4,6042923,8,4,3,6,39,3,0
32,11,1561367,14,2,1,4,16,0,1
42,16,2253315,17,1,3,4,33,2,1
47,16,6100108,12,3,2,3,49,4,0
46,9,4505334,7,3,3,5,21,4,0
43,16,4354190,13,2,4,3,9,5,1
48,14,2784382,7,2,3,5,6,3,1
